PCE_max,Voc ,Jsc ,FF,HOMO ,LUMO ,Bandgap,Eloss,Nickname,smiles
2.34,0.53,9.37,0.48,5.1,3.1,1.88,1.35,PBTTT-C14,CCCCCCCCCCCCCCc1cc(C)sc1-c1cc2sc(-c3sc(C)cc3CCCCCCCCCCCCCC)cc2s1
3.6,0.89,6.92,0.63,5.5,3.6,1.88,0.99,PCDTBT,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21
5.12,0.61,15.73,0.53,5.3,3.55,1.43,0.82,PCPDTBT,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21
10.5,0.77,18.4,0.74,5.34,3.69,1.65,0.88,PffBT4T-2OD,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C
10.4,0.77,18.2,0.74,5.2,3.57,1.63,0.86,PffBT4T-2OD,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc(F)c(-c5sc(C)cc5F)s4)s3)c3nsnc23)sc1C
9,0.76,17.9,0.65,5.34,3.69,1.65,0.89,PffBT4T-2OD,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C
7.7,0.72,16.7,0.63,5.34,3.69,1.65,0.93,PffBT4T-2OD,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C
10.1,0.76,19.8,0.68,5.24,3.71,1.53,0.77,PNTz4T-2OD,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(C[C@@H](CCCCCCCC)CCCCCCCCCC)c(C)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1
7.73,0.76,15.2,0.67,5.22,3.45,1.65,0.89,PBDTTT-CF,CCCCCCCC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F
5.1,0.68,12.7,0.55,5.05,3.27,1.45,0.77,PSBTBT,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21
10.1,0.71,19.4,0.73,5.14,3.46,1.56,0.85,PNTz4T,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(C)s1
5.62,0.67,13.18,0.64,5.1,3.3,1.77,1.1,PSEHTT,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CC(CC)CCCC)nc2s1
8.9,0.96,14.5,0.64,5.48,3.65,1.52,0.56,PNOz4T,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nonc43)c3nonc23)sc1-c1ccc(C)s1
4.4,0.51,15,0.58,5.2,3.27,1.93,1.42,P3HT,CCCCCCc1cc(C)sc1C
1.15,0.61,4.31,0.44,5.1,3.1,1.93,1.32,PQT-12,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1
0.83,0.54,4.3,0.36,5.1,3.1,1.93,1.39,PQT-12,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1
7.64,0.79,14.02,0.69,5.22,3.64,1.58,0.79,PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
7.02,0.79,13.02,0.69,5.22,3.64,1.58,0.79,PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
5.9,0.77,12.16,0.63,5.22,3.64,1.58,0.81,PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
5.35,0.77,11.63,0.6,5.22,3.64,1.58,0.81,PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F
7.4,0.74,14.5,0.69,5.15,3.31,1.72,0.98,PTB7,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F
5.08,0.81,10.4,0.61,5.29,3.57,1.72,0.91,PPDTBT,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3ccc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1
5.11,0.81,10.2,0.62,5.35,3.63,1.72,0.91,PPDTFBT,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)cc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1
7.26,0.86,11.4,0.74,5.45,3.69,1.76,0.9,PPDT2FBT,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)c(F)c(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1
0.07,0.71,0.26,0.37,5.6,3.6,2,1.29,PCz,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21
0.4,0.85,0.89,0.46,5.61,2.83,2.3,1.45,PCV,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1
0.4,0.7,1.08,0.45,5.52,2.92,2.2,1.5,PCVT,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1
0.3,0.55,0.86,0.48,5.49,3.02,2.1,1.55,PCVTT,C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5cc(CCCCCCCC)c(C)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1
0.2,0.5,0.76,0.43,5.4,2.96,2,1.5,PCVTTTT,C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5ccc(-c6ccc(-c7cc(CCCCCCCC)c(C)s7)s6)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1
0.8,0.8,1.56,0.55,5.5,3.5,1.7,0.9,PCPTDO,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(-c5ccc(C6=C(CCCCCC)C(CCCCCC)=C(c7ccc(-c8ccc(C)s8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1
6.1,0.88,10.6,0.66,5.5,3.6,1.88,1,PCDTBT,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21
1.8,0.95,3,0.56,5.46,3.42,2.02,1.07,PCDTQx,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nonc45)s3)cc21
1.1,0.9,2.6,0.44,5.52,3.67,1.89,0.99,PCDTTPP,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nccnc45)s3)cc21
0.7,0.71,2.9,0.32,5.53,3.8,1.75,1.04,PCDTPT,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nsnc45)s3)cc21
2.4,0.96,3.7,0.6,5.47,3.65,1.87,0.91,PCDTBX,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21
0.8,0.85,1.4,0.6,5.55,3.93,1.67,0.82,PCDTPX,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21
